ID,Exercise Name,Category,Equipment,Difficulty,MET Value,Description
77,Turkish Get-up,Full Body,Kettlebell,Expert,7.0,Complex full body stability.
78,Box Jumps,Legs,Box,Intermediate,8.0,Explosive power jumping.
79,Battle Ropes,Cardio,Ropes,Intermediate,10.0,Upper body conditioning.
80,Wall Balls,Full Body,Medicine Ball,Intermediate,8.5,Squat and throw combo.
81,Thrusters,Full Body,Barbell/Dumbbell,Advanced,9.0,Squat to overhead press.
82,Farmer's Carry,Full Body,Heavy Weights,Beginner,5.5,Weighted walking for grip/core.
83,Sled Push,Legs,Sled,Intermediate,10.0,High intensity leg drive.
84,Clean and Jerk,Full Body,Barbell,Expert,11.0,Olympic lifting power move.
85,Snatch,Full Body,Barbell,Expert,11.0,Olympic lifting technical move.
86,Sun Salutations,Yoga,Mat,Beginner,3.5,Flowing yoga sequence.
87,Warrior Poses (I II III),Yoga,None,Beginner,3.0,Static standing strength holds.
88,Downward Dog,Yoga,None,Beginner,2.5,Resting inversion pose.
89,Crow Pose,Yoga,None,Advanced,3.5,Arm balance hold.
90,Pilates Hundred,Core,Mat,Intermediate,3.5,Pilates core endurance.
91,Power Yoga,Yoga,Mat,Intermediate,4.5,Fast paced Vinyasa flow.
92,Hatha Yoga,Yoga,Mat,Beginner,2.5,Slow paced stretching/holding.
93,Foam Rolling,Recovery,Foam Roller,Beginner,2.0,Self-myofascial release.
94,Basketball (Game),Sports,Ball/Court,Intermediate,8.0,Competitive team sport.
95,Soccer (Competitive),Sports,Ball/Field,Advanced,10.0,Continuous running sport.
96,Tennis (Singles),Sports,Racket/Court,Intermediate,7.3,Agility and sprints.
97,Volleyball (Beach),Sports,Ball/Sand,Intermediate,8.0,Jumping in sand.
98,Golf (Walking with clubs),Sports,Clubs,Beginner,4.3,Walking and swinging.
99,Rock Climbing,Full Body,Wall/Rock,Advanced,8.0,Vertical pulling and grip strength.
100,Martial Arts / Karate,Full Body,None,Intermediate,10.0,Striking and kicking practice.
101,Badminton (Competitive),Sports,Racket,Intermediate,7.0,Fast paced reaction sport.
102,Surfing,Full Body,Board,Advanced,5.0,Paddling and balance.
103,Skateboarding,Legs,Board,Intermediate,5.0,Balance and pushing.
Standard Push-Up,Strength,Bodyweight,Intermediate,8.0,Classic chest and tricep builder. Keep back straight.
2,Barbell Back Squat,Strength,Barbell,Hard,8.0,The king of leg exercises. Focus on depth and form.
3,Deadlift (Conventional),Strength,Barbell,Hard,6.0,Full body power movement. Keep spine neutral.
4,Dumbbell Bench Press,Strength,Dumbbells,Intermediate,6.0,Chest builder with better range of motion than barbell.
5,Pull-Ups,Strength,Pull-up Bar,Hard,8.0,Ultimate back and bicep test. Full extension at bottom.
6,Walking (3.5 mph),Cardio,None,Easy,3.5,Good for active recovery and thyroid health.
7,Burpees,Plyometrics,Bodyweight,Hard,10.0,Full body explosive movement for fat burn and stamina.
8,Plank (Forearm),Core,Bodyweight,Intermediate,3.0,Isometric core hold. Don't let hips sag.
9,Dumbbell Bicep Curl,Strength,Dumbbells,Easy,3.0,Isolation for biceps. No swinging.
10,Overhead Press (Barbell),Strength,Barbell,Intermediate,5.0,Builds massive shoulders and core stability.
11,Lunges (Bodyweight),Strength,Bodyweight,Intermediate,5.0,Unilateral leg strength and balance.
12,Russian Twists,Core,Bodyweight,Easy,4.0,Focuses on obliques and rotational strength.
13,Mountain Climbers,Cardio,Bodyweight,Intermediate,8.0,High-intensity core and cardio combo.
14,Kettlebell Swing,Strength,Kettlebell,Intermediate,9.0,Posterior chain power and cardiovascular endurance.
15,Dips (Triceps),Strength,Parallel Bars,Intermediate,6.0,Excellent for triceps and lower chest.
16,Lat Pulldown,Strength,Machine,Easy,3.5,Controlled back builder for width.
17,Leg Press,Strength,Machine,Intermediate,3.5,Heavy leg load without lower back stress.
18,Face Pulls,Strength,Cable,Easy,3.0,Rear delt and shoulder health essential.
19,Bulgarian Split Squat,Strength,Dumbbells,Hard,6.0,Brutal single leg builder. Elevate rear foot.
20,Jump Rope,Cardio,Rope,Intermediate,11.0,High calorie burn and coordination.
21,Diamond Push-Up,Strength,Bodyweight,Hard,8.0,Narrow hand placement to torch triceps.
22,Incline Dumbbell Press,Strength,Dumbbells,Intermediate,6.0,Targets the upper chest (clavicular head).
23,Chin-Ups,Strength,Pull-up Bar,Intermediate,8.0,Back and heavy bicep emphasis.
24,Tricep Rope Pushdown,Strength,Cable,Easy,2.8,Isolation for tricep definition.
25,Hammer Curls,Strength,Dumbbells,Easy,3.0,Targets the brachialis and forearms.
26,Box Jumps,Plyometrics,Box,Hard,9.0,Explosive power and vertical leap builder.
27,Plank Jacks,Core,Bodyweight,Intermediate,8.0,Plank variation with jumping legs for cardio.
28,Calf Raises (Standing),Strength,Bodyweight,Easy,3.0,Isolation for gastrocnemius.
29,Seated Cable Row,Strength,Cable,Easy,3.5,Mid-back thickness and posture builder.
30,Bent Over Barbell Row,Strength,Barbell,Hard,6.0,Compound movement for a thick back.
31,Bicycle Crunches,Core,Bodyweight,Intermediate,4.5,Dynamic core exercise for abs and obliques.
32,Lat Raise (Dumbbell),Strength,Dumbbells,Intermediate,3.0,The secret to wide "boulder" shoulders.
33,Romanian Deadlift,Strength,Barbell,Intermediate,5.0,Hinge movement for hamstrings and glutes.
34,Wall Sit,Strength,None,Easy,3.0,Leg endurance hold. Back flat against wall.
35,Skull Crushers,Strength,EZ Bar,Intermediate,3.0,Lying tricep extensions for mass.
36,Hip Thrusts,Strength,Barbell,Intermediate,6.0,Number one glute builder.
37,T-Bar Row,Strength,T-Bar,Intermediate,6.0,Heavy back rowing variation.
38,Arnold Press,Strength,Dumbbells,Intermediate,5.0,Rotational shoulder press for full delt coverage.
39,Side Plank,Core,Bodyweight,Intermediate,3.0,Static oblique strengthener.
40,Glute Bridge,Strength,Bodyweight,Easy,3.0,Basic glute activation.
41,Farmer's Walk,Strength,Dumbbells,Intermediate,6.0,Grip strength and core stability beast.
42,Hanging Leg Raise,Core,Pull-up Bar,Hard,4.0,Advanced lower ab movement.
43,Goblet Squat,Strength,Dumbbell,Easy,5.5,Great for squat mechanics and depth.
44,Pike Push-Up,Strength,Bodyweight,Intermediate,5.0,Bodyweight shoulder press prep.
45,Shadow Boxing,Cardio,None,Easy,6.0,Good for speed and stress relief.
46,Jump Squats,Plyometrics,Bodyweight,Hard,10.0,Explosive leg power.
47,Preacher Curls,Strength,EZ Bar,Intermediate,3.0,Strict bicep isolation, no cheating.
48,Battle Ropes,Cardio,Ropes,Hard,12.0,Insane metabolic conditioning for upper body.
49,Step-Ups,Strength,Box,Easy,5.0,Unilateral leg strength.
50,Dragon Flag,Core,Bench,Expert,6.0,Bruce Lee's core secret. High difficulty.
51,Hindu Push-Ups,Strength,Bodyweight,Intermediate,8.0,Yoga-based dynamic pushup for mobility and strength.
52,Zottman Curls,Strength,Dumbbells,Intermediate,3.0,Combines regular and reverse curls for arms.
53,Sledgehammer Swings,Cardio,Tire/Hammer,Hard,10.0,Great for core and aggression release.
54,Turkish Get-Up,Strength,Kettlebell,Expert,7.0,Complex full body mobility and strength move.
55,Hollow Body Hold,Core,Bodyweight,Intermediate,3.0,Gymnastics foundation for core stability.
56,Leg Extensions,Strength,Machine,Easy,3.0,Quad isolation, watch the knees.
57,Hamstring Curls (Seated),Strength,Machine,Easy,3.0,Leg bicep isolation.
58,Concentration Curls,Strength,Dumbbells,Easy,3.0,Final bicep peak builder.
59,Chest Fly (Dumbbell),Strength,Dumbbells,Intermediate,3.0,Chest stretch and isolation.
60,Reverse Fly (Dumbbell),Strength,Dumbbells,Easy,3.0,Rear delt and upper back focus.
61,Clean and Press,Strength,Barbell,Hard,12.0,Olympic lift for total power.
62,Bear Crawls,Cardio,Bodyweight,Intermediate,8.0,Functional mobility and cardio.
63,Wall Balls,Plyometrics,Med Ball,Intermediate,9.0,Squat and throw combo for endurance.
64,Turkish Get-Up (Partial),Strength,Kettlebell,Intermediate,5.0,Learning the first half of the TGU.
65,Superman,Core,Bodyweight,Easy,2.5,Lower back strengthener.
66,Bird Dog,Core,Bodyweight,Easy,2.0,Core stability and balance.
67,Russian Kettlebell Swing,Strength,Kettlebell,Intermediate,8.0,Eye-level swing for power.
68,Thrusters,Strength,Dumbbells,Hard,12.0,Squat into overhead press. Metabolic killer.
69,Box Dip,Strength,Box/Bench,Easy,3.5,Beginner friendly tricep dip.
70,Reverse Lunges,Strength,Bodyweight,Easy,5.0,Easier on knees than forward lunges.
71,Good Mornings,Strength,Barbell,Hard,4.5,Posterior chain builder, requires great form.
72,Upright Row,Strength,EZ Bar,Intermediate,4.0,Traps and side delts.
73,Close Grip Bench Press,Strength,Barbell,Intermediate,6.0,Heavy tricep builder.
74,Dumbbell Pullover,Strength,Dumbbell,Intermediate,3.5,Lats and chest expansion move.
75,Sumo Deadlift,Strength,Barbell,Hard,6.0,Deadlift with wider stance, less back stress.
76,Ab Wheel Rollout,Core,Ab Wheel,Hard,5.0,Intense core eccentric strength.
77,Calf Raises (Seated),Strength,Machine,Easy,3.0,Targets the soleus muscle.
78,Donkey Kicks,Strength,Bodyweight,Easy,3.0,Glute isolation.
79,Fire Hydrants,Strength,Bodyweight,Easy,3.0,Hip abductor health.
80,Woodchoppers (Cable),Core,Cable,Intermediate,4.0,Rotational core power.
81,Cable Crossover,Strength,Cable,Intermediate,3.0,Chest definition and inner squeeze.
82,Hack Squat,Strength,Machine,Intermediate,6.0,Fixed path leg mass builder.
83,Sprints (HIIT),Cardio,None,Hard,15.0,The ultimate fat burner and speed tool.
84,Shadow Boxing (with Weights),Cardio,Light Dumbbells,Intermediate,8.0,Adds shoulder endurance to boxing.
85,Scapular Pull-Ups,Strength,Pull-up Bar,Easy,2.0,Pre-pullup strength and shoulder health.
86,Incline Push-Ups,Strength,Elevated Surface,Easy,6.0,Beginner pushup variation.
87,Decline Push-Ups,Strength,Feet Elevated,Hard,9.0,Focuses on upper chest and shoulders.
88,Archer Push-Ups,Strength,Bodyweight,Expert,10.0,One-arm pushup progression.
89,Clap Push-Ups,Plyometrics,Bodyweight,Hard,12.0,Explosive upper body power.
90,Wrist Curls,Strength,Dumbbells,Easy,2.0,Forearm size and grip.
91,Reverse Wrist Curls,Strength,Dumbbells,Easy,2.0,Top of forearm development.
92,Sissy Squats,Strength,Bodyweight,Hard,5.0,Quad isolation without machines.
93,Nordic Hamstring Curl,Strength,Floor/Partner,Expert,6.0,Intense hamstring eccentric work.
94,Flutter Kicks,Core,Bodyweight,Easy,3.5,Lower ab endurance.
95,V-Sits,Core,Bodyweight,Hard,5.0,Isometric core strength.
96,Kneeling Landmine Press,Strength,Barbell/Landmine,Easy,4.0,Shoulder friendly pressing.
97,Single Arm Dumbbell Row,Strength,Dumbbell,Intermediate,4.5,Core stability and back width.
98,Step-Up with Knee Drive,Plyometrics,Box,Intermediate,7.0,Adds explosiveness to stepups.
99,Speed Skaters,Cardio,Bodyweight,Intermediate,8.0,Lateral power and cardio.
100,Hindu Squats,Strength,Bodyweight,Intermediate,5.0,High rep leg endurance and mobility.
