Food Item,Category,Diet Type,State,Serving Size,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g),Fiber (g),Key Nutrients
Bhatura,Breads,Veg,Cooked,1 piece,280,6,40,12,1,Deep Fried
Bhel Puri,Snack,Veg,Uncooked,1 serving,250,6,45,8,4,Puffed Rice
Bhindi Fry (Crispy),Main,Veg,Cooked,1 serving,220,4,18,15,4,Fried
Bhindi Masala,Main,Veg,Cooked,1 serving,180,4,15,10,4,Okra
Bhuna Gosht,Main Course,Non-Veg,Cooked,1 bowl (200g),480,28,6,38,1,"Protein, Rich Flavor"
Bikaji Bhujia,Snacks,Veg,Ready to Eat,30g,180,3,11,15,1,Fats
Bikanerwala Rasmalai,Sweets,Veg,Ready to Eat,1pc,140,4,20,5,0,Sugar
Bisi Bele Bath,Rice,Veg,Cooked,1 bowl,300,10,45,10,5,Complete Meal
Bisleri Water,Beverage,Veg,Ready to Eat,500ml,0,0,0,0,0,Hydration
Bitter Gourd (Karela),Vegetables,Veg,Raw,100g,17,1,3.7,0.1,2.8,Blood Sugar
Black Rice,Grains,Veg,Raw,100g,340,9,72,3,5,Anthocyanin
Boiled Egg,Snack,Non-Veg,Cooked,1 large,78,6,0.6,5,0,Protein
Bolega Toh Aur Add Kar Dunga,Bot,Veg,Ready to Eat,0g,0,0,0,0,0,Humor
Boondi Laddu,Sweet,Veg,Cooked,1 piece,200,2,30,10,0,Sweet Drops
Boost Powder,Beverage Mix,Veg,Uncooked,20g,80,1.5,17,0.5,0.5,Energy
Bottle Gourd (Lauki),Vegetables,Veg,Raw,100g,15,0.6,3.4,0.1,0.5,Hydration
Bourbon Biscuit,Snacks,Veg,Ready to Eat,25g,120,1,17,5,0,Sugar
Bournvita Powder,Beverage Mix,Veg,Uncooked,20g,78,1,17,0.5,0.5,Vitamin D
Bread Pakora,Snack,Veg,Cooked,1 piece,300,8,30,18,2,Stuffed
Brinjal (Eggplant),Vegetables,Veg,Raw,100g,25,1,6,0.2,3,Nasunin
Britannia 50-50,Snacks,Veg,Ready to Eat,30g,145,2,20,6,0,Salt
Britannia Cheese Cube,Dairy,Veg,Ready to Eat,25g,75,5,1,6,0,Calcium
Britannia Good Day Cashew,Snacks,Veg,Ready to Eat,50g,250,4,32,12,1,Cashews
Britannia Little Hearts,Snacks,Veg,Ready to Eat,30g,140,2,19,6,0,Sugar
Britannia Marie Gold,Snacks,Veg,Ready to Eat,25g,105,2,19,3,1,Light
Britannia Winkin Cow Shake,Beverage,Veg,Ready to Eat,200ml,160,5,22,6,0,Calcium
Broad Beans (Sem),Vegetables,Veg,Raw,100g,48,4.2,8,0.4,3.5,Protein
Broccoli,Vegetables,Veg,Raw,100g,34,2.8,7,0.4,2.6,Sulforaphane
Broken Wheat (Dalia),Grains,Veg,Raw,100g,340,11,71,1.5,10,Fiber
Brown Rice,Grains,Veg,Raw,100g,360,7.5,76,3,3.5,"Magnesium, Fiber"
Bru Instant Coffee,Beverage Mix,Veg,Uncooked,2g,5,0.5,1,0,0,Caffeine
Buckwheat (Kuttu),Grains,Veg,Raw,100g,343,13,71,3,10,Magnesium
Butter,Fats,Veg,Raw,1 tbsp,102,0.1,0,11.5,0,Fat
Butter Chicken,Main,Non-Veg,Cooked,1 serving,450,28,15,30,2,Rich Creamy
Butter Naan,Breads,Veg,Cooked,1 piece,240,6,35,8,1,Refined Wheat
Buttermilk (Chaas),Beverage,Veg,Uncooked,1 glass,45,2,4,2,0,Cooling
Cabbage,Vegetables,Veg,Raw,100g,25,1.3,6,0.1,2.5,Vitamin C
Cabbage Sabzi (Patta Gobi),Side,Veg,Cooked,1 bowl (150g),130,3,16,6,5,"Vitamin C, Fiber"
Cabbage Sabzi (Thorana),Main,Veg,Cooked,1 serving,130,3,15,6,4,Coconut
Cadbury Dairy Milk,Sweets,Veg,Ready to Eat,25g,130,2,15,7,0,Sugar
Cadbury Gems,Sweets,Veg,Ready to Eat,20g,95,1,14,4,0,Sugar
Cadbury Hot Chocolate,Beverage Mix,Veg,Uncooked,20g,80,1,16,2,0,Cocoa
Capsicum (Green),Vegetables,Veg,Uncooked,1 medium,24,1.3,5.5,0.2,2,Vitamin C
Capsicum (Red),Vegetables,Veg,Uncooked,1 medium,31,1,6,0.3,2.1,Antioxidants
Carrot (Red/Orange),Vegetables,Veg,Uncooked,1 medium,41,0.9,10,0.2,2.8,Vitamin A
Cashews,Nuts,Veg,Uncooked,10 pcs,100,3,6,8,0.5,Magnesium
Cauliflower,Vegetables,Veg,Raw,100g,25,1.9,5,0.3,2,Choline
Cauliflower Sabzi,Main,Veg,Cooked,1 serving,140,4,12,8,3,Simple
CavinKins Milkshake,Beverage,Veg,Ready to Eat,200ml,170,6,24,6,0,Calcium
Chaas (Buttermilk),Beverage,Veg,Cooked,1 glass (250ml),60,4,5,2.5,0,"Probiotics, Hydration"
Chakli/Murukku,Snack,Veg,Cooked,2 pieces,150,2,18,8,1,Spiral
Cham Cham,Sweet,Veg,Cooked,1 piece,180,4,30,5,0,Syrupy
Chana Chor Garam,Snack,Veg,Cooked,1 serving,200,8,30,6,5,Pressed Gram
Chana Dal (Bengal Gram),Pulses,Veg,Raw,100g,370,20,60,5,15,Zinc
Chana Masala,Main,Veg,Cooked,1 bowl,240,10,30,9,8,Protein
Cheese (Processed),Dairy,Veg,Raw,1 slice,80,5,1,6,0,Calcium
Cheese Momos,Snack,Veg,Cooked,1 plate (6pcs),310,10,35,15,1,Gooey
Cherry,Fruits,Veg,Uncooked,100g,50,1,12,0.3,1.6,Antioxidants
Chettinad Chicken,Main Course,Non-Veg,Cooked,1 bowl (200g),380,28,8,26,2,"Peppery, Spicy"
Chhena,Dairy,Veg,Raw,100g,250,16,3,18,0,Sweet Base
Chia Seeds,Seeds,Veg,Uncooked,1 tbsp,60,2,5,4,5,Fiber
Chicken 65,Snack,Non-Veg,Cooked,1 serving,380,25,15,22,1,Spicy Fried
Chicken Biryani,Rice,Non-Veg,Cooked,1 serving,400,20,45,15,2,Protein Rich
Chicken Chettinad,Main,Non-Veg,Cooked,1 serving,320,28,10,18,3,Peppery
Chicken Clear Soup,Soup,Non-Veg,Cooked,1 bowl,90,12,4,2,0.5,"Hydration, Protein"
Chicken Curry (Home Style),Main Course,Non-Veg,Cooked,1 bowl (200g),320,25,10,20,2,"Protein, Vitamin B6"
Chicken Curry (Home),Main,Non-Veg,Cooked,1 serving,280,25,8,15,1,Standard
Chicken Do Pyaza,Main Course,Non-Veg,Cooked,1 bowl (200g),340,26,10,20,2.5,"Protein, Onions"
Chicken Fried Momos,Snack,Non-Veg,Cooked,1 plate (6pcs),420,15,35,24,1,Crispy
Chicken Fry,Snack,Non-Veg,Cooked,1 serving,350,25,10,22,0,Fried
Chicken Korma,Main,Non-Veg,Cooked,1 serving,400,26,12,25,2,Yogurt Nut
Chicken Lollipop,Snack,Non-Veg,Cooked,4 pieces,380,24,16,24,0.5,"Fried, Indo-Chinese"
Chicken Puff,Snack,Non-Veg,Cooked,1 piece,300,12,25,18,1,Bakery
Chicken Roll,Snack,Non-Veg,Cooked,1 roll,480,22,44,22,2,"Protein, Filling"
Chicken Saagwala,Main Course,Non-Veg,Cooked,1 bowl (250g),360,30,8,22,5,"Iron, Protein"
Chicken Shawarma,Snack,Non-Veg,Cooked,1 roll,450,25,35,22,2,Street Food
Chicken Steamed Momos,Snack,Non-Veg,Cooked,1 plate (6pcs),280,15,35,8,1,Protein
Chicken Stew,Main,Non-Veg,Cooked,1 serving,250,22,10,12,2,Coconut Milk
Chicken Tandoori,Main,Non-Veg,Cooked,1 leg pc,220,28,5,9,1,Roasted
Chicken Tikka,Snack,Non-Veg,Cooked,6 pieces (150g),240,32,5,9,1,"Selenium, Protein"
Chicken Tikka Masala,Main,Non-Veg,Cooked,1 serving,350,30,12,20,2,Popular
Chicken Vindaloo,Main Course,Non-Veg,Cooked,1 bowl (200g),380,25,12,24,2,"Spicy, Vinegar"
Chikki (Peanut),Sweet,Veg,Cooked,1 piece,150,4,18,8,1,Brittle
Chikoo (Sapota),Fruits,Veg,Uncooked,1 medium,83,0.4,20,1.1,5,Energy
Chilli Chicken,Snack,Non-Veg,Cooked,1 plate (200g),380,24,22,20,2,"Sodium, Protein"
Chilli Paneer,Snack,Veg,Cooked,1 serving,320,14,15,22,1,Spicy
Chings Hakka Noodles,Staples,Veg,Uncooked,100g,360,11,78,1,2,Wheat
Chings Hot & Sour Soup,Instant Food,Veg,Uncooked,15g,50,1,10,0.5,1,Sodium
Chings Manchow Soup,Instant Food,Veg,Uncooked,15g,50,1,10,0.5,1,Sodium
Chings Schezwan Chutney,Staples,Veg,Ready to Eat,20g,40,0,4,3,0,Spices
Chings Sweet Corn Soup,Instant Food,Veg,Uncooked,15g,55,1,11,0.5,1,Sodium
Chocolate Momos,Snack,Veg,Cooked,1 plate (6pcs),380,5,50,18,1,Dessert
Chole Bhature,Breakfast,Veg,Cooked,2 bhature + chole,650,18,85,28,9,"Fiber, Sodium"
Cluster Beans (Gavar),Vegetables,Veg,Raw,100g,34,3.2,7,0.4,3,Fiber
Coca Cola,Beverage,Veg,Ready to Eat,250ml,110,0,27,0,0,Sugar
Coca Cola Zero,Beverage,Veg,Ready to Eat,250ml,0,0,0,0,0,Caffeine
Coconut (Fresh Meat),Fruits,Veg,Uncooked,100g,354,3.3,15,33,9,MCTs
Coconut Chutney,Side,Veg,Uncooked,1 tbsp,45,0.5,2,4,1,Dip
Coconut Oil,Fats,Veg,Raw,1 tbsp,117,0,0,13.6,0,MCTs
Coconut Rice,Rice,Veg,Cooked,1 bowl,240,4,30,12,2,MCTs
Coconut Water,Beverage,Veg,Uncooked,1 glass,25,0.5,6,0.2,2,Electrolytes
Colocasia (Arbi),Vegetables,Veg,Raw,100g,112,2,26,0.2,4,Resistant Starch
Complan,Beverage Mix,Veg,Uncooked,20g,85,3,14,1,0,Growth
Continental Coffee,Beverage Mix,Veg,Uncooked,2g,5,0.5,1,0,0,Caffeine
Coriander Leaves,Vegetables,Veg,Uncooked,100g,23,2,3.7,0.5,2.8,Vitamin K
Corn (Sweet),Vegetables,Veg,Raw,100g,86,3.2,19,1.2,2.7,Lutein
Corn Chat,Snack,Veg,Cooked,1 cup,150,4,30,2,3,Sweet Corn
Corn Palak,Main,Veg,Cooked,1 serving,180,6,20,8,5,Spinach Corn
Corn Starch,Grains,Veg,Raw,100g,381,0.3,91,0.1,0.9,Thickener
Crab Masala,Main,Non-Veg,Cooked,1 serving,300,22,8,20,1,Exotic
Cream Bun,Snack,Veg,Cooked,1 piece,150,3,25,5,1,Sweet
Cream Cracker,Snack,Veg,Cooked,1 piece,35,0.5,5,1.5,0,Salty
Cucumber,Vegetables,Veg,Uncooked,1 medium,30,2,7,0.1,1,Hydration
Curd (Dahi),Dairy,Veg,Uncooked,100g,60,3,4,3,0,Probiotic
Curd Rice,Rice,Veg,Cooked,1 bowl,210,6,30,7,0.5,Probiotic
Curd Vada (Dahi Vada),Snack,Veg,Cooked,2 pieces,320,10,35,14,2,Yogurt Soaked
Curry Pakora,Main Course,Veg,Cooked,1 bowl (200g),320,8,28,18,3,Yogurt Base
Custard Apple (Sitaphal),Fruits,Veg,Uncooked,100g,94,2.1,23,0.3,4.4,Magnesium
Daawat Rozana Rice,Staples,Veg,Uncooked,100g,348,8,77,0.5,1,Zinc
Dabeli,Snack,Veg,Cooked,1 piece,280,6,40,12,4,Sweet Spicy
Dabur Chyawanprash,Health,Veg,Ready to Eat,15g,50,0,12,0,1,Immunity
Dabur Honey,Staples,Veg,Ready to Eat,20g,64,0,17,0,0,Sugar
Dabur Real Coconut Water,Beverage,Veg,Ready to Eat,200ml,40,0,10,0,0,Electrolytes
Dahi Puri,Snack,Veg,Uncooked,1 serving,350,7,45,16,2,Yogurt
Dairy Milk Fruit & Nut,Sweets,Veg,Ready to Eat,30g,155,3,16,9,1,Nuts
Dairy Milk Silk,Sweets,Veg,Ready to Eat,30g,160,2,18,9,0,Sugar
Dal Dhokli,Main,Veg,Cooked,1 bowl,280,8,45,8,5,Wheat Dumplings
Dal Fry,Main,Veg,Cooked,1 bowl,200,8,22,9,5,Restaurant Style
Dal Makhani,Main,Veg,Cooked,1 bowl,350,10,25,22,6,Creamy
Dal Palak,Main,Veg,Cooked,1 bowl,160,9,18,5,6,Iron
Dal Tadka,Main,Veg,Cooked,1 bowl,180,8,20,7,5,Comfort
Dalda Vanaspati,Staples,Veg,Uncooked,15g,135,0,0,15,0,Trans Fat
Dark Fantasy Choco Fills,Snacks,Veg,Ready to Eat,25g,125,1,16,6,1,Chocolate
Dates (Dry),Nuts,Veg,Uncooked,1 piece,60,0.5,15,0.1,1.5,Iron
Dates (Fresh),Fruits,Veg,Uncooked,1 piece,20,0.2,5,0.03,0.6,Iron
Davidoff Coffee,Beverage Mix,Veg,Uncooked,2g,5,0.5,1,0,0,Caffeine
Del Monte Pasta,Staples,Veg,Uncooked,100g,350,12,72,1.5,2,Durum Wheat
Dhara Mustard Oil,Staples,Veg,Uncooked,15g,135,0,0,15,0,Omega 3
Dhokla (Khaman),Snack,Veg,Cooked,1 serving,180,8,25,6,2,Steamed
Disano Pasta,Staples,Veg,Uncooked,100g,355,12,73,1.5,2,Durum Wheat
Dodha Barfi,Sweet,Veg,Cooked,2 pieces,300,5,42,12,1,Germinated Wheat
Doritos Nacho Cheese,Snacks,Veg,Ready to Eat,30g,150,2,18,8,1,Corn
Double Beans,Pulses,Veg,Raw,100g,340,21,63,1,16,Protein
Double Ka Meetha,Sweet,Veg,Cooked,1 bowl,420,6,62,18,1,Bread Pudding
Dr Oetker Pizza Sauce,Staples,Veg,Ready to Eat,30g,30,1,5,0.5,1,Tomato
Drumstick (Moringa),Vegetables,Veg,Raw,100g,64,9.4,8,1.4,2,Calcium
Drumstick Curry,Main,Veg,Cooked,1 serving,160,4,15,9,3,Moringa
Dum Aloo,Main,Veg,Cooked,1 serving,250,5,30,12,4,Rich Gravy
Egg Bhurji,Main,Non-Veg,Cooked,2 eggs,180,14,4,12,1,Scrambled
Egg Biryani,Rice,Non-Veg,Cooked,1 serving,350,14,45,12,2,Protein
Egg Curry,Main,Non-Veg,Cooked,2 eggs+gravy,220,14,8,14,1,Protein
Egg Masala,Main Course,Non-Veg,Cooked,2 eggs + gravy,280,14,10,20,1.5,"Choline, Protein"
Egg Paratha,Breads,Non-Veg,Cooked,1 piece,280,9,30,13,2,Protein
Egg Puff,Snack,Non-Veg,Cooked,1 piece,280,10,25,16,1,Bakery
Egg Roll,Snack,Non-Veg,Cooked,1 roll,350,12,35,18,2,Kolkata
Elephant Yam (Suran),Vegetables,Veg,Raw,100g,118,1.5,28,0.2,4,Carbs
Enerzal Powder,Beverage Mix,Veg,Uncooked,15g,55,0,14,0,0,Electrolytes
Ensure Powder,Health,Veg,Uncooked,30g,130,5,18,4,1,Vitamins
Epigamia Almond Milk,Beverage,Vegan,Ready to Eat,200ml,55,2,3,4,1,Almond
Epigamia Greek Yogurt,Dairy,Veg,Ready to Eat,90g,80,7,12,2,0,Protein
Fafda,Snack,Veg,Cooked,1 serving,250,6,25,15,3,Crunchy
Falooda,Sweet,Veg,Cooked,1 glass,400,6,60,14,2,Dessert Drink
Fanta,Beverage,Veg,Ready to Eat,250ml,120,0,30,0,0,Sugar
Fenugreek (Methi),Vegetables,Veg,Raw,100g,49,4.4,6,0.9,1.1,Iron
Fig (Dry),Nuts,Veg,Uncooked,1 piece,40,0.5,10,0.2,1.5,Calcium
Fig (Fresh),Fruits,Veg,Uncooked,1 medium,30,0.3,8,0.1,1.2,Calcium
Filter Coffee,Beverage,Veg,Cooked,1 cup,90,3,12,4,0,South Indian
Fish Curry (Bengali),Main Course,Non-Veg,Cooked,1 bowl (200g),290,24,8,17,1,"Omega-3, Mustard Oil"
Fish Curry (Goan),Main,Non-Veg,Cooked,1 serving,320,20,8,22,2,Coconut
Fish Curry (Rohu),Main Course,Non-Veg,Cooked,1 bowl (200g),280,22,8,18,1.5,"Omega-3, Vitamin B12"
Fish Fry,Snack,Non-Veg,Cooked,2 pieces (150g),350,28,12,20,1,"Omega-3, Protein"
Fish Fry (Rava),Snack,Non-Veg,Cooked,1 piece,250,18,10,15,1,Crispy
Fish Moilee,Main,Non-Veg,Cooked,1 serving,300,20,8,20,2,Kerala Mild
Fish Tikka,Snack,Non-Veg,Cooked,5 pieces (150g),220,28,4,10,0.5,"Protein, Low Carb"
Flax Seeds,Seeds,Veg,Uncooked,1 tbsp,55,1.9,3,4.3,2.8,Omega 3
Fortune Chakki Fresh Atta,Staples,Veg,Uncooked,100g,365,11,73,1.7,11,Fiber
Fortune Maida,Staples,Veg,Uncooked,100g,360,10,75,1,3,Refined
Fortune Poha,Staples,Veg,Uncooked,100g,350,7,77,1,1,Rice Flakes
Fortune Rice Bran Oil,Staples,Veg,Uncooked,15g,135,0,0,15,0,Oryzanol
Fortune Soya Chunks,Staples,Veg,Uncooked,100g,336,52,33,0.5,13,High Protein
Fortune Suji,Staples,Veg,Uncooked,100g,360,10,72,1,3,Semolina
Foxtail Millet (Kangni),Grains,Veg,Raw,100g,331,12,60,4,8,Nervine Tonic
French Beans,Vegetables,Veg,Raw,100g,31,1.8,7,0.2,2.7,Vitamin K
Fried Momos (Veg),Snack,Veg,Cooked,6 pieces,340,5,44,18,2.5,"Fried, High Cal"
Fried Rice (Chicken),Rice,Non-Veg,Cooked,1 bowl,320,15,35,12,2,Meal
Fried Rice (Egg),Rice,Non-Veg,Cooked,1 bowl,280,10,35,10,2,Protein
Fried Rice (Veg),Rice,Veg,Cooked,1 bowl,220,4,35,7,2,Chinese
Frooti,Beverage,Veg,Ready to Eat,200ml,130,0,32,0,0,Mango Pulp
FunFoods Veg Mayo,Staples,Veg,Ready to Eat,15g,90,0,1,10,0,Fats
Gajar Ka Halwa,Sweet,Veg,Cooked,1 bowl,350,5,50,15,3,Carrot
Galouti Kebab,Snack,Non-Veg,Cooked,2 pcs,320,18,8,24,2,Melt in Mouth
Garlic,Vegetables,Veg,Raw,1 clove,4,0.2,1,0.02,0.1,Allicin
Garlic Chutney,Side,Veg,Uncooked,1 tbsp,30,0.5,4,1.5,0.5,Spicy
Garlic Naan,Breads,Veg,Cooked,1 piece,250,6,36,9,1,Flavor
Gatorade Blue Bolt,Beverage,Veg,Ready to Eat,250ml,60,0,15,0,0,Electrolytes
Gatorade Lemon,Beverage,Veg,Ready to Eat,250ml,60,0,15,0,0,Electrolytes
Gatorade Orange,Beverage,Veg,Ready to Eat,250ml,60,0,15,0,0,Electrolytes
Gatte Ki Sabzi,Main,Veg,Cooked,1 bowl,280,8,25,16,4,Gram Flour
Gawar Phali,Side,Veg,Cooked,1 bowl (150g),160,4,14,9,5,"Fiber, Iron"
Ghee,Fats,Veg,Cooked,1 tbsp,112,0,0,13,0,Healthy Fat
Ghee Rice,Rice,Veg,Cooked,1 bowl,250,3,30,12,0.5,Rich
